Disease 1,Disease 2,Disease 3,Support
'Chicken Pox,'Fungal Infection,'Dengue',0.04941076245917933
'Cervical Spondylosis,'Hypertension,'Hypertension ',0.04344739457617493
'Hepatitis A,'Typhoid,'Dengue',0.04060769558426807
'Hepatitis D,'Hepatitis A,'Chronic Cholestasis',0.04032372568507738
'Allergy,'Common Cold,'Dengue',0.03947181598750533
'Malaria,'Hepatitis A,'Dengue',0.03833593639074258
'Malaria,'Typhoid,'Aids',0.03549623739883572
'Peptic Ulcer Disease,'Typhoid,'Dengue',0.03464432770126367
'Gastroenteritis,'Heart Attack,'Malaria',0.03251455345733352
'Peptic Ulcer Diseae,'Drug Reaction,'Jaundice',0.030242794263808038
'Hepatitis D,'Hepatitis A,'Jaundice',0.029816839415022008
'Malaria,'Typhoid,'Jaundice',0.029816839415022008
'Hepatitis D,'Jaundice,'Chronic Cholestasis',0.028822944767854606
'Hepatitis A,'Jaundice,'Chronic Cholestasis',0.027261110322305836
'Chicken Pox,'Dengue,'Impetigo',0.026125230725543094
'Chicken Pox,'Fungal Infection,'Drug Reaction',0.025557290927161722
'Peptic Ulcer Disease,'Typhoid,'Varicose Veins',0.025273321027971037
'Neck Pain,'Osteoarthristis,'Arthritis',0.02456339627999432
'Peptic Ulcer Disease,'Popliteal Artery Entrapment,'Varicose Veins',0.023853471532017605
'Allergy,'Common Cold,'Gastroesophageal Reflux Disease',0.023711486582422264
'Dengue,'Psoriasis,'Nail Fungus',0.02257560698565952
'Pneumonia,'Bronchial Asthma,'Malaria',0.022433622036064176
'Popliteal Artery Entrapment,'Varicose Veins,'Impetigo',0.022433622036064176
'Chicken Pox,'Drug Reaction,'Dengue',0.022433622036064176
'Fungal Infection,'Drug Reaction,'Dengue',0.022433622036064176
'Pneumonia,'Bronchial Asthma,'Heart Attack',0.022291637086468835
'Peptic Ulcer Disease,'Varicose Veins,'Impetigo',0.022291637086468835
'Peptic Ulcer Disease,'Malaria,'Typhoid',0.022291637086468835
'Pneumonia,'Heart Attack,'Malaria',0.022291637086468835
'Fungal Infection,'Drug Reaction,'Jaundice',0.02214965213687349
'Peptic Ulcer Disease,'Popliteal Artery Entrapment,'Impetigo',0.02214965213687349
'Pemphigus,'Dengue,'Impetigo',0.02214965213687349
'Urinary Tract Infection,'Cystitis,'Bladder Stones',0.02200766718727815
'Tennis Elbow,'Nail Fungus,'Psoriasis',0.021865682237682805
'Urinary Tract Infection,'Cystitis,'Kidney Infection',0.021865682237682805
'Nail Fungus,'Psoriasis,'Dry Skin',0.021723697288087464
'Cervical Spondylosis,'Hypertension,'Dengue',0.021723697288087464
'Malaria,'Common Cold,'Dengue',0.02158171233849212
'Tennis Elbow,'Dengue,'Psoriasis',0.02158171233849212
'Cervical Spondylosis,'Dengue,'Hypertension ',0.021439727388896778
'Tennis Elbow,'Dengue,'Nail Fungus',0.021439727388896778
